,img_url,,,,,,,,,
134,luhrmann-baz-medium.jpg,1962,https://www.famousbirthdays.com/thumbnails/luhrmann-baz-medium.jpg,"
33


Gabe","Newell,","60

Entrepreneur

",,,,
135,stradlin-izzy-medium.jpg,1962,https://www.famousbirthdays.com/thumbnails/stradlin-izzy-medium.jpg,"
34


Alton","Brown,","60

Chef

",,,,
136,adkins-trace-medium.jpg,1962,https://www.famousbirthdays.com/thumbnails/adkins-trace-medium.jpg,"
35


Wesley","Snipes,","60

Movie","Actor

",,,
137,cusack-joan-medium.jpg,1962,https://www.famousbirthdays.com/thumbnails/cusack-joan-medium.jpg,"
36


Anthony","Kiedis,","60

Rock","Singer

",,,
138,steele-peter-medium.jpg,1962,https://www.famousbirthdays.com/thumbnails/steele-peter-medium.jpg,"
37


Rosie","O'Donnell,","60

TV",Show,"Host

",,
139,collins-suzanne-medium.jpg,1962,https://www.famousbirthdays.com/thumbnails/collins-suzanne-medium.jpg,"
38


Sheryl","Crow,","60

Pop","Singer

",,,
140,gullit-ruud-medium.jpg,1962,https://www.famousbirthdays.com/thumbnails/gullit-ruud-medium.jpg,"
39


Baz","Luhrmann,","60

Director

",,,,
141,griffith-thomas-medium.jpg,1962,https://www.famousbirthdays.com/thumbnails/griffith-thomas-medium.jpg,"
40


Izzy","Stradlin,","60

Guitarist

",,,,
142,background: url(https://www.famousbirthdays.com/faces/large-default.jpg,1962,https://www.famousbirthdays.com/thumbnails/background: url(https://www.famousbirthdays.com/faces/large-default.jpg,"
41


Trace","Adkins,","61

Country","Singer

",,,
143,knievel-robbie-medium.jpg,1962,https://www.famousbirthdays.com/thumbnails/knievel-robbie-medium.jpg,"
42


Joan","Cusack,","60

Movie","Actress

",,,
144,jordan-michael-medium.jpg,1962,https://www.famousbirthdays.com/thumbnails/jordan-michael-medium.jpg,"
43


Peter",Steele,"(1962-2010)

Metal","Singer

",,,
145,depp-johnny-medium.jpg,1962,https://www.famousbirthdays.com/thumbnails/depp-johnny-medium.jpg,"
44


Suzanne","Collins,","60

Young",Adult,"Author

",,
146,houston-whitney-medium.jpg,1962,https://www.famousbirthdays.com/thumbnails/houston-whitney-medium.jpg,"
45


Ruud","Gullit,","60

Soccer","Player

",,,
147,pitt-brad-medium.jpg,1962,https://www.famousbirthdays.com/thumbnails/pitt-brad-medium.jpg,"
46


Thomas",Ian,"Griffith,","60

Movie","Actor

",,
148,stamos-john-medium.jpg,1962,https://www.famousbirthdays.com/thumbnails/stamos-john-medium.jpg,"
47


Funkee",Bunch,"Tom,","60

YouTube","Star

",,
149,michael-george-medium.jpg,1962,https://www.famousbirthdays.com/thumbnails/michael-george-medium.jpg,"
48


Robbie",Knievel,"(1962-2023)

Daredevil

",,,,
153,kudrow-lisa-medium.jpg,1963,https://www.famousbirthdays.com/thumbnails/kudrow-lisa-medium.jpg,"
1


Michael","Jordan,","59

Basketball","Player

",,,
154,coolio-medium.jpg,1963,https://www.famousbirthdays.com/thumbnails/coolio-medium.jpg,"
2


Johnny","Depp,","59

Movie","Actor

",,,
155,myers-mike-medium.jpg,1963,https://www.famousbirthdays.com/thumbnails/myers-mike-medium.jpg,"
3


Whitney",Houston,"(1963-2012)

R&B","Singer

",,,
156,hetfield-james-medium.jpg,1963,https://www.famousbirthdays.com/thumbnails/hetfield-james-medium.jpg,"
4


Brad","Pitt,","59

Movie","Actor

",,,
157,paul-greg-medium.jpg,1963,https://www.famousbirthdays.com/thumbnails/paul-greg-medium.jpg,"
5


John","Stamos,","59

TV","Actor

",,,
158,obrien-conan-medium.jpg,1963,https://www.famousbirthdays.com/thumbnails/obrien-conan-medium.jpg,"
6


George",Michael,"(1963-2016)

Pop","Singer

",,,
159,background: url(https://www.famousbirthdays.com/faces/large-default.jpg,1963,https://www.famousbirthdays.com/thumbnails/background: url(https://www.famousbirthdays.com/faces/large-default.jpg,"
7


David","Baszucki,","59

Entrepreneur

",,,,
160,falco-edie-medium.jpg,1963,https://www.famousbirthdays.com/thumbnails/falco-edie-medium.jpg,"
8


Jill","Hudson,","59

YouTube","Star

",,,
161,ulrich-lars-medium.jpg,1963,https://www.famousbirthdays.com/thumbnails/ulrich-lars-medium.jpg,"
9


Kevin","Chamberlin,","59


TV","Actor

",,,
162,williams-vanessa-medium.jpg,1963,https://www.famousbirthdays.com/thumbnails/williams-vanessa-medium.jpg,"
10


Lisa","Kudrow,","59

TV","Actress

",,,
163,tarantino-quentin-medium.jpg,1963,https://www.famousbirthdays.com/thumbnails/tarantino-quentin-medium.jpg,"
11


Coolio","(1963-2022)

Rapper

",,,,,
164,thewlis-david-medium.jpg,1963,https://www.famousbirthdays.com/thumbnails/thewlis-david-medium.jpg,"
12


Mike","Myers,","59

Movie","Actor

",,,
165,may-james-medium.jpg,1963,https://www.famousbirthdays.com/thumbnails/may-james-medium.jpg,"
13


James","Hetfield,","59

Metal","Singer

",,,
166,mourinho-jose-medium.jpg,1963,https://www.famousbirthdays.com/thumbnails/mourinho-jose-medium.jpg,"
14


Greg","Paul,","59

Instagram","Star

",,,
167,schneider-rob-medium.jpg,1963,https://www.famousbirthdays.com/thumbnails/schneider-rob-medium.jpg,"
15


Conan","O'Brien,","59

TV",Show,"Host

",,
168,seal-medium.jpg,1963,https://www.famousbirthdays.com/thumbnails/seal-medium.jpg,"
16


Pam","Stepnick,","59

YouTube","Star

",,,
169,rinna-lisa-medium.jpg,1963,https://www.famousbirthdays.com/thumbnails/rinna-lisa-medium.jpg,"
17


Edie","Falco,","59

TV","Actress

",,,
170,isaacs-jason-medium.jpg,1963,https://www.famousbirthdays.com/thumbnails/isaacs-jason-medium.jpg,"
18


Lars","Ulrich,","59

Drummer

",,,,
171,li-jet-medium.jpg,1963,https://www.famousbirthdays.com/thumbnails/li-jet-medium.jpg,"
19


Vanessa","Williams,","59

TV","Actress

",,,
172,barkley-charles-medium.jpg,1963,https://www.famousbirthdays.com/thumbnails/barkley-charles-medium.jpg,"
20


Quentin","Tarantino,","59

Director

",,,,
173,richardson-natasha-medium.jpg,1963,https://www.famousbirthdays.com/thumbnails/richardson-natasha-medium.jpg,"
21


David","Thewlis,","59

Movie","Actor

",,,
