,img_url,Text
116,background: url(https://www.famousbirthdays.com/thumbnails/rice-jerry-medium.jpg) no-repeat center center; background-size:cover;,"
15


Garth Brooks, 60

Country Singer

"
117,background: url(https://www.famousbirthdays.com/thumbnails/schofield-phillip-medium.jpg) no-repeat center center; background-size:cover;,"
16


Paula Abdul, 60

Pop Singer

"
118,background: url(https://www.famousbirthdays.com/thumbnails/foster-jodie-medium.jpg) no-repeat center center; background-size:cover;,"
17


MC Hammer, 60

Rapper

"
119,background: url(https://www.famousbirthdays.com/thumbnails/kramer-eric-medium.jpg) no-repeat center center; background-size:cover;,"
18


Jeff Dunham, 60

Ventriloquist

"
120,background: url(https://www.famousbirthdays.com/thumbnails/jackson-bo-medium.jpg) no-repeat center center; background-size:cover;,"
19


Michelle Yeoh, 60

Movie Actress

"
121,background: url(https://www.famousbirthdays.com/thumbnails/estevez-emilio-medium.jpg) no-repeat center center; background-size:cover;,"
20


Manute Bol (1962-2010)

Basketball Player

"
122,background: url(https://www.famousbirthdays.com/thumbnails/burton-cliff-medium.jpg) no-repeat center center; background-size:cover;,"
21


Jerry Rice, 60

Football Player

"
123,background: url(https://www.famousbirthdays.com/thumbnails/preston-kelly-medium.jpg) no-repeat center center; background-size:cover;,"
22


Phillip Schofield, 60

TV Show Host

"
124,background: url(https://www.famousbirthdays.com/thumbnails/mccarthy-andrew-medium.jpg) no-repeat center center; background-size:cover;,"
23


Jodie Foster, 60

Movie Actress

"
125,background: url(https://www.famousbirthdays.com/thumbnails/broderick-matthew-medium.jpg) no-repeat center center; background-size:cover;,"
24


Eric Allan Kramer, 60

TV Actor

"
126,background: url(https://www.famousbirthdays.com/thumbnails/flea-medium.jpg) no-repeat center center; background-size:cover;,"
25


Bo Jackson, 60

Baseball Player

"
127,background: url(https://www.famousbirthdays.com/thumbnails/peterson-jordan-medium.jpg) no-repeat center center; background-size:cover;,"
26


Emilio Estevez, 60

Movie Actor

"
128,background: url(https://www.famousbirthdays.com/thumbnails/newell-gabe-medium.jpg) no-repeat center center; background-size:cover;,"
27


Cliff Burton (1962-1986)

Bassist

"
129,background: url(https://www.famousbirthdays.com/thumbnails/brown-alton-medium.jpg) no-repeat center center; background-size:cover;,"
28


Kelly Preston (1962-2020)

Movie Actress

"
130,background: url(https://www.famousbirthdays.com/thumbnails/snipes-wesley-medium.jpg) no-repeat center center; background-size:cover;,"
29


Andrew McCarthy, 60

Movie Actor

"
131,background: url(https://www.famousbirthdays.com/thumbnails/kiedis-anthony-medium.jpg) no-repeat center center; background-size:cover;,"
30


Matthew Broderick, 60

Movie Actor

"
132,background: url(https://www.famousbirthdays.com/thumbnails/odonnell-r-medium.jpg) no-repeat center center; background-size:cover;,"
31


Flea, 60

Bassist

"
133,background: url(https://www.famousbirthdays.com/thumbnails/crow-sheryl-medium.jpg) no-repeat center center; background-size:cover;,"
32


Jordan Peterson, 60

Psychologist

"
134,background: url(https://www.famousbirthdays.com/thumbnails/luhrmann-baz-medium.jpg) no-repeat center center; background-size:cover;,"
33


Gabe Newell, 60

Entrepreneur

"
135,background: url(https://www.famousbirthdays.com/thumbnails/stradlin-izzy-medium.jpg) no-repeat center center; background-size:cover;,"
34


Alton Brown, 60

Chef

"
136,background: url(https://www.famousbirthdays.com/thumbnails/adkins-trace-medium.jpg) no-repeat center center; background-size:cover;,"
35


Wesley Snipes, 60

Movie Actor

"
137,background: url(https://www.famousbirthdays.com/thumbnails/cusack-joan-medium.jpg) no-repeat center center; background-size:cover;,"
36


Anthony Kiedis, 60

Rock Singer

"
138,background: url(https://www.famousbirthdays.com/thumbnails/steele-peter-medium.jpg) no-repeat center center; background-size:cover;,"
37


Rosie O'Donnell, 60

TV Show Host

"
139,background: url(https://www.famousbirthdays.com/thumbnails/collins-suzanne-medium.jpg) no-repeat center center; background-size:cover;,"
38


Sheryl Crow, 60

Pop Singer

"
140,background: url(https://www.famousbirthdays.com/thumbnails/gullit-ruud-medium.jpg) no-repeat center center; background-size:cover;,"
39


Baz Luhrmann, 60

Director

"
141,background: url(https://www.famousbirthdays.com/thumbnails/griffith-thomas-medium.jpg) no-repeat center center; background-size:cover;,"
40


Izzy Stradlin, 60

Guitarist

"
142,background: url(https://www.famousbirthdays.com/faces/large-default.jpg) no-repeat center center; background-size:cover;,"
41


Trace Adkins, 61

Country Singer

"
143,background: url(https://www.famousbirthdays.com/thumbnails/knievel-robbie-medium.jpg) no-repeat center center; background-size:cover;,"
42


Joan Cusack, 60

Movie Actress

"
144,background: url(https://www.famousbirthdays.com/thumbnails/jordan-michael-medium.jpg) no-repeat center center; background-size:cover;,"
43


Peter Steele (1962-2010)

Metal Singer

"
145,background: url(https://www.famousbirthdays.com/thumbnails/depp-johnny-medium.jpg) no-repeat center center; background-size:cover;,"
44


Suzanne Collins, 60

Young Adult Author

"
146,background: url(https://www.famousbirthdays.com/thumbnails/houston-whitney-medium.jpg) no-repeat center center; background-size:cover;,"
45


Ruud Gullit, 60

Soccer Player

"
147,background: url(https://www.famousbirthdays.com/thumbnails/pitt-brad-medium.jpg) no-repeat center center; background-size:cover;,"
46


Thomas Ian Griffith, 60

Movie Actor

"
148,background: url(https://www.famousbirthdays.com/thumbnails/stamos-john-medium.jpg) no-repeat center center; background-size:cover;,"
47


Funkee Bunch Tom, 60

YouTube Star

"
149,background: url(https://www.famousbirthdays.com/thumbnails/michael-george-medium.jpg) no-repeat center center; background-size:cover;,"
48


Robbie Knievel (1962-2023)

Daredevil

"
150,background: url(https://www.famousbirthdays.com/thumbnails/baszucki-david-medium.jpg) no-repeat center center; background-size:cover;,1962 Movies
151,background: url(https://www.famousbirthdays.com/thumbnails/hudson-jill-medium.jpg) no-repeat center center; background-size:cover;,1962 Shows
152,background: url(https://www.famousbirthdays.com/thumbnails/chamberlin-kevin-medium.jpg) no-repeat center center; background-size:cover;,Died in 1962
153,background: url(https://www.famousbirthdays.com/thumbnails/kudrow-lisa-medium.jpg) no-repeat center center; background-size:cover;,"
1


Michael Jordan, 59

Basketball Player

"
154,background: url(https://www.famousbirthdays.com/thumbnails/coolio-medium.jpg) no-repeat center center; background-size:cover;,"
2


Johnny Depp, 59

Movie Actor

"
155,background: url(https://www.famousbirthdays.com/thumbnails/myers-mike-medium.jpg) no-repeat center center; background-size:cover;,"
3


Whitney Houston (1963-2012)

R&B Singer

"
156,background: url(https://www.famousbirthdays.com/thumbnails/hetfield-james-medium.jpg) no-repeat center center; background-size:cover;,"
4


Brad Pitt, 59

Movie Actor

"
157,background: url(https://www.famousbirthdays.com/thumbnails/paul-greg-medium.jpg) no-repeat center center; background-size:cover;,"
5


John Stamos, 59

TV Actor

"
158,background: url(https://www.famousbirthdays.com/thumbnails/obrien-conan-medium.jpg) no-repeat center center; background-size:cover;,"
6


George Michael (1963-2016)

Pop Singer

"
159,background: url(https://www.famousbirthdays.com/faces/large-default.jpg) no-repeat center center; background-size:cover;,"
7


David Baszucki, 59

Entrepreneur

"
160,background: url(https://www.famousbirthdays.com/thumbnails/falco-edie-medium.jpg) no-repeat center center; background-size:cover;,"
8


Jill Hudson, 59

YouTube Star

"
161,background: url(https://www.famousbirthdays.com/thumbnails/ulrich-lars-medium.jpg) no-repeat center center; background-size:cover;,"
9


Kevin Chamberlin, 59


TV Actor

"
162,background: url(https://www.famousbirthdays.com/thumbnails/williams-vanessa-medium.jpg) no-repeat center center; background-size:cover;,"
10


Lisa Kudrow, 59

TV Actress

"
163,background: url(https://www.famousbirthdays.com/thumbnails/tarantino-quentin-medium.jpg) no-repeat center center; background-size:cover;,"
11


Coolio (1963-2022)

Rapper

"
164,background: url(https://www.famousbirthdays.com/thumbnails/thewlis-david-medium.jpg) no-repeat center center; background-size:cover;,"
12


Mike Myers, 59

Movie Actor

"
165,background: url(https://www.famousbirthdays.com/thumbnails/may-james-medium.jpg) no-repeat center center; background-size:cover;,"
13


James Hetfield, 59

Metal Singer

"
166,background: url(https://www.famousbirthdays.com/thumbnails/mourinho-jose-medium.jpg) no-repeat center center; background-size:cover;,"
14


Greg Paul, 59

Instagram Star

"
167,background: url(https://www.famousbirthdays.com/thumbnails/schneider-rob-medium.jpg) no-repeat center center; background-size:cover;,"
15


Conan O'Brien, 59

TV Show Host

"
168,background: url(https://www.famousbirthdays.com/thumbnails/seal-medium.jpg) no-repeat center center; background-size:cover;,"
16


Pam Stepnick, 59

YouTube Star

"
169,background: url(https://www.famousbirthdays.com/thumbnails/rinna-lisa-medium.jpg) no-repeat center center; background-size:cover;,"
17


Edie Falco, 59

TV Actress

"
170,background: url(https://www.famousbirthdays.com/thumbnails/isaacs-jason-medium.jpg) no-repeat center center; background-size:cover;,"
18


Lars Ulrich, 59

Drummer

"
